MIESIAC_KAMPANII,TYP_KAMPANII,PACKET_ID,DECYL,CZY_MNP_SHORT,CZY_MNP_LONG,CZY_RETENCJA,CZY_DNOT,CZY_CHURN,DATA_EOP,N,KAT,ZGODA,rok_eop,msc_eop
201607,campaign,A1009,9.0,12,12,17.0,23.0,5.0,2016-08-01,56,OK,BRAK,2016.0,8.0
201607,campaign,A1009,9.0,23,23,48.0,116.0,4.0,2016-09-01,190,OK,BRAK,2016.0,9.0
201607,campaign,A1009,10.0,3,3,6.0,30.0,3.0,2016-10-01,42,OK,BRAK,2016.0,10.0
201607,campaign,A1009,10.0,9,9,6.0,13.0,5.0,2016-08-01,30,OK,BRAK,2016.0,8.0
201607,campaign,A1009,10.0,30,30,43.0,113.0,8.0,2016-09-01,192,OK,BRAK,2016.0,9.0
201607,campaign,A1009I,5.0,0,0,,,1.0,2016-08-01,1,NI,TAK,2016.0,8.0
201607,campaign,A1009I,6.0,0,0,,1.0,1.0,2016-08-01,2,NI,BRAK,2016.0,8.0
201607,campaign,A1009I,7.0,0,0,,,1.0,2016-08-01,1,NI,TAK,2016.0,8.0
201607,campaign,A1009I,8.0,0,0,,,1.0,2016-08-01,1,NI,BRAK,2016.0,8.0
201607,campaign,A1009I,8.0,0,0,,,1.0,2016-10-01,1,NI,BRAK,2016.0,10.0
201607,campaign,A1009I,9.0,0,0,,,1.0,2016-08-01,1,NI,BRAK,2016.0,8.0
201607,campaign,A1210,,0,0,,8.0,1.0,2016-11-01,9,OK,TAK,2016.0,11.0
201607,campaign,A1210,3.0,0,0,16.0,135.0,2.0,2016-11-01,153,OK,BRAK,2016.0,11.0
201607,campaign,A1210,4.0,1,1,4.0,13.0,1.0,2016-09-01,19,OK,BRAK,2016.0,9.0
201607,campaign,A1210,4.0,3,3,19.0,159.0,1.0,2016-11-01,182,OK,BRAK,2016.0,11.0
201607,campaign,A1210,5.0,3,3,13.0,55.0,1.0,2016-09-01,72,OK,BRAK,2016.0,9.0
201607,campaign,A1210,6.0,1,1,9.0,37.0,1.0,2016-10-01,48,OK,BRAK,2016.0,10.0
201607,campaign,A1210,6.0,2,2,23.0,160.0,1.0,2016-11-01,186,OK,BRAK,2016.0,11.0
201607,campaign,A1210,7.0,1,1,2.0,8.0,1.0,2016-10-01,12,OK,BRAK,2016.0,10.0
201607,campaign,A1210,7.0,3,3,17.0,149.0,1.0,2016-11-01,170,OK,BRAK,2016.0,11.0
201607,campaign,A1210,8.0,0,0,1.0,1.0,1.0,2016-10-01,3,OK,NIE,2016.0,10.0
201607,campaign,A1210,8.0,1,1,3.0,20.0,1.0,2016-09-01,25,OK,BRAK,2016.0,9.0
201607,campaign,A1210,8.0,1,1,14.0,110.0,1.0,2016-11-01,126,OK,BRAK,2016.0,11.0
201607,campaign,A1210,9.0,3,3,7.0,23.0,1.0,2016-10-01,34,OK,BRAK,2016.0,10.0
201607,campaign,A1210,10.0,0,0,2.0,2.0,1.0,2016-10-01,5,OK,BRAK,2016.0,10.0
201607,campaign,A1210,10.0,0,0,3.0,10.0,1.0,2016-10-01,14,OK,BRAK,2016.0,10.0
201607,campaign,A1210,10.0,1,1,,,1.0,2016-09-01,2,OK,BRAK,2016.0,9.0
201607,campaign,A1228,,0,0,,,2.0,,2,NI,BRAK,2016.0,3.0
201607,campaign,A1228,,0,0,,1.0,1.0,,2,NI,BRAK,2016.0,4.0
201607,campaign,A1228,,1,1,1.0,1.0,2.0,,4,NI,BRAK,2016.0,3.0
201607,campaign,A1228,1.0,0,0,,,1.0,2016-06-01,1,NI,BRAK,2016.0,6.0
201607,campaign,A1228,1.0,0,0,,,1.0,2016-06-01,1,NI,TAK,2016.0,6.0
201607,campaign,A1228,1.0,0,0,,1.0,1.0,2016-05-01,2,NI,BRAK,2016.0,5.0
201607,campaign,A1228,1.0,0,0,,1.0,1.0,2016-07-01,3,NI,BRAK,2016.0,7.0
201607,campaign,A1228,1.0,0,0,,2.0,1.0,2016-09-01,3,NI,BRAK,2016.0,9.0
201607,campaign,A1228,1.0,0,0,,5.0,10.0,2016-06-01,16,NI,BRAK,2016.0,6.0
201607,campaign,A1228,1.0,0,0,1.0,1.0,2.0,2016-07-01,4,NI,TAK,2016.0,7.0
201607,campaign,A1228,1.0,0,0,1.0,1.0,2.0,2016-08-01,4,NI,TAK,2016.0,8.0
201607,campaign,A1228,1.0,0,0,1.0,3.0,2.0,2016-08-01,7,NI,BRAK,2016.0,8.0
201607,campaign,A1228,1.0,0,0,4.0,,2.0,2016-07-01,6,NI,TAK,2016.0,7.0
201607,campaign,A1228,1.0,1,1,4.0,2.0,7.0,2016-07-01,16,NI,BRAK,2016.0,7.0
201607,campaign,A1228,1.0,2,2,5.0,6.0,3.0,2016-08-01,19,NI,BRAK,2016.0,8.0
201607,campaign,A1228,1.0,2,2,8.0,9.0,10.0,2016-07-01,31,NI,BRAK,2016.0,7.0
201607,campaign,A1228,2.0,0,0,,,1.0,2016-05-01,1,NI,BRAK,2016.0,5.0
201607,campaign,A1228,2.0,0,0,,,1.0,2016-08-01,2,NI,TAK,2016.0,8.0
201607,campaign,A1228,2.0,0,0,,,3.0,2016-07-01,3,NI,BRAK,2016.0,7.0
201607,campaign,A1228,2.0,0,0,,3.0,3.0,2016-06-01,6,NI,BRAK,2016.0,6.0
201607,campaign,A1228,2.0,0,0,1.0,1.0,1.0,2016-07-01,3,NI,TAK,2016.0,7.0
201607,campaign,A1228,2.0,0,0,1.0,2.0,2.0,2016-08-01,5,NI,TAK,2016.0,8.0
201607,campaign,A1228,2.0,0,0,5.0,2.0,1.0,2016-08-01,8,NI,BRAK,2016.0,8.0
201607,campaign,A1228,2.0,1,1,2.0,4.0,5.0,2016-08-01,12,NI,BRAK,2016.0,8.0
201607,campaign,A1228,3.0,0,0,,,2.0,2016-07-01,2,NI,TAK,2016.0,7.0
201607,campaign,A1228,3.0,0,0,,1.0,1.0,2016-05-01,2,NI,BRAK,2016.0,5.0
201607,campaign,A1228,3.0,0,0,1.0,,2.0,2016-07-01,3,NI,BRAK,2016.0,7.0
201607,campaign,A1228,3.0,1,1,,,1.0,2016-07-01,1,NI,NIE,2016.0,7.0
201607,campaign,A1228,3.0,1,1,1.0,,1.0,2016-09-01,2,NI,TAK,2016.0,9.0
201607,campaign,A1228,3.0,3,3,3.0,4.0,7.0,2016-07-01,15,NI,BRAK,2016.0,7.0
201607,campaign,A1228,3.0,3,3,4.0,1.0,4.0,2016-08-01,10,NI,BRAK,2016.0,8.0
201607,campaign,A1228,4.0,0,0,,,1.0,2016-06-01,1,NI,TAK,2016.0,6.0
201607,campaign,A1228,4.0,0,0,,,1.0,2016-08-01,1,NI,TAK,2016.0,8.0
201607,campaign,A1228,4.0,0,0,,3.0,1.0,2016-08-01,4,NI,NIE,2016.0,8.0
201607,campaign,A1228,4.0,1,1,,1.0,2.0,2016-07-01,3,NI,BRAK,2016.0,7.0
201607,campaign,A1228,4.0,1,1,1.0,,1.0,2016-06-01,2,NI,BRAK,2016.0,6.0
201607,campaign,A1228,4.0,1,1,6.0,2.0,3.0,2016-08-01,11,NI,BRAK,2016.0,8.0
201607,campaign,A1228,5.0,0,0,,,1.0,2016-06-01,1,NI,BRAK,2016.0,6.0
201607,campaign,A1228,5.0,1,1,,,1.0,2016-07-01,1,NI,BRAK,2016.0,7.0
201607,campaign,A1228,5.0,1,1,1.0,2.0,1.0,2016-08-01,5,NI,BRAK,2016.0,8.0
201607,campaign,A1228,5.0,1,1,4.0,,1.0,2016-09-01,6,NI,BRAK,2016.0,9.0
201607,campaign,A1228,5.0,2,2,2.0,2.0,2.0,2016-08-01,8,NI,BRAK,2016.0,8.0
201607,campaign,A1228,6.0,2,2,1.0,1.0,2.0,2016-08-01,4,NI,BRAK,2016.0,8.0
201607,campaign,A1228,7.0,0,0,,,2.0,2016-07-01,2,NI,BRAK,2016.0,7.0
201607,campaign,A1228,7.0,0,0,,2.0,1.0,2016-06-01,3,NI,BRAK,2016.0,6.0
201607,campaign,A1228,7.0,0,0,,2.0,2.0,2016-08-01,4,NI,BRAK,2016.0,8.0
201607,campaign,A1228,8.0,0,0,,,2.0,2016-06-01,2,NI,BRAK,2016.0,6.0
201607,campaign,A1228,8.0,0,0,,,2.0,2016-07-01,2,NI,BRAK,2016.0,7.0
201607,campaign,A1228,9.0,0,0,,,1.0,2016-09-01,1,NI,BRAK,2016.0,9.0
201607,campaign,A1228,9.0,0,0,,,2.0,2016-06-01,2,NI,BRAK,2016.0,6.0
201607,campaign,A1228I,5.0,1,1,,,1.0,2016-08-01,1,NI,BRAK,2016.0,8.0
201607,campaign,A1228I,6.0,0,0,,,1.0,2016-08-01,1,NI,BRAK,2016.0,8.0
201607,campaign,A1339,,3,3,28.0,62.0,2.0,2016-11-01,95,OK,BRAK,2016.0,11.0
201607,campaign,A1339,1.0,0,0,,1.0,1.0,2016-07-01,2,OK,TAK,2016.0,7.0
201607,campaign,A1339,1.0,1,1,,,1.0,2016-06-01,1,OK,TAK,2016.0,6.0
201607,campaign,A1339,1.0,1,1,1.0,2.0,1.0,2016-08-01,4,OK,BRAK,2016.0,8.0
201607,campaign,A1339,2.0,0,0,,2.0,1.0,2016-06-01,3,OK,BRAK,2016.0,6.0
201607,campaign,A1339,2.0,0,0,4.0,2.0,1.0,2016-07-01,7,OK,BRAK,2016.0,7.0
201607,campaign,A1339,2.0,1,1,1.0,,1.0,2016-07-01,2,OK,TAK,2016.0,7.0
201607,campaign,A1339,3.0,0,0,,,1.0,2016-06-01,1,OK,TAK,2016.0,6.0
201607,campaign,A1339,3.0,0,0,1.0,1.0,1.0,2016-07-01,3,OK,BRAK,2016.0,7.0
201607,campaign,A1339,3.0,0,0,2.0,,1.0,2016-07-01,3,OK,BRAK,2016.0,7.0
201607,campaign,A1339,3.0,1,1,6.0,26.0,1.0,2016-11-01,34,OK,BRAK,2016.0,11.0
201607,campaign,A1339,4.0,0,0,,,1.0,2016-08-01,1,OK,BRAK,2016.0,8.0
201607,campaign,A1339,4.0,1,1,1.0,,1.0,2016-06-01,2,OK,BRAK,2016.0,6.0
201607,campaign,A1339,5.0,0,0,,,1.0,2016-07-01,1,OK,TAK,2016.0,7.0
201607,campaign,A1339,5.0,0,0,,1.0,1.0,2016-07-01,2,OK,BRAK,2016.0,7.0
201607,campaign,A1339,5.0,0,0,1.0,1.0,4.0,2016-08-01,6,OK,BRAK,2016.0,8.0
201607,campaign,A1339,5.0,0,0,1.0,3.0,1.0,2016-08-01,5,OK,TAK,2016.0,8.0
201607,campaign,A1339,5.0,1,1,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1339,5.0,4,4,35.0,66.0,5.0,2016-11-01,108,OK,BRAK,2016.0,11.0
201607,campaign,A1339,6.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1339,6.0,0,0,,,1.0,2016-08-01,1,OK,TAK,2016.0,8.0
201607,campaign,A1339,6.0,0,0,,,4.0,2016-06-01,4,OK,BRAK,2016.0,6.0
201607,campaign,A1339,6.0,0,0,2.0,,1.0,2016-08-01,3,OK,BRAK,2016.0,8.0
201607,campaign,A1339,6.0,5,5,41.0,93.0,3.0,2016-11-01,142,OK,BRAK,2016.0,11.0
201607,campaign,A1339,7.0,0,0,,,1.0,2016-06-01,1,OK,TAK,2016.0,6.0
201607,campaign,A1339,7.0,0,0,,,1.0,2016-07-01,1,OK,TAK,2016.0,7.0
201607,campaign,A1339,7.0,0,0,1.0,1.0,1.0,2016-08-01,3,OK,BRAK,2016.0,8.0
201607,campaign,A1339,7.0,1,1,1.0,1.0,1.0,2016-07-01,3,OK,BRAK,2016.0,7.0
201607,campaign,A1339,7.0,3,3,48.0,116.0,3.0,2016-11-01,169,OK,BRAK,2016.0,11.0
201607,campaign,A1339,8.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1339,8.0,0,0,,,2.0,2016-07-01,2,OK,BRAK,2016.0,7.0
201607,campaign,A1339,8.0,7,7,56.0,122.0,3.0,2016-11-01,188,OK,BRAK,2016.0,11.0
201607,campaign,A1339,9.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1339,9.0,0,0,,,3.0,2016-06-01,3,OK,BRAK,2016.0,6.0
201607,campaign,A1339,9.0,0,0,,,3.0,2016-07-01,3,OK,BRAK,2016.0,7.0
201607,campaign,A1339,9.0,7,7,70.0,119.0,2.0,2016-11-01,198,OK,BRAK,2016.0,11.0
201607,campaign,A1339,10.0,0,0,,,1.0,2016-06-01,1,OK,BRAK,2016.0,6.0
201607,campaign,A1339,10.0,0,0,,,2.0,2016-07-01,2,OK,BRAK,2016.0,7.0
201607,campaign,A1339,10.0,0,0,,,2.0,2016-07-01,2,OK,BRAK,2016.0,7.0
201607,campaign,A1339,10.0,0,0,1.0,,3.0,2016-08-01,4,OK,BRAK,2016.0,8.0
201607,campaign,A1339,10.0,8,8,68.0,116.0,3.0,2016-11-01,195,OK,BRAK,2016.0,11.0
201607,campaign,A1339I,2.0,0,0,,,1.0,2016-08-01,1,NI,BRAK,2016.0,8.0
201607,campaign,A1339I,3.0,0,0,,,1.0,2016-08-01,1,NI,BRAK,2016.0,8.0
201607,campaign,A1495,,0,0,1.0,21.0,1.0,2017-01-01,23,OK,BRAK,2018.0,2.0
201607,campaign,A1495,,0,0,2.0,3.0,1.0,2017-01-01,6,OK,BRAK,2018.0,6.0
201607,campaign,A1495,,0,0,4.0,41.0,1.0,2017-01-01,47,OK,TAK,2017.0,9.0
201607,campaign,A1495,,0,0,6.0,31.0,1.0,2017-01-01,38,OK,BRAK,2017.0,11.0
201607,campaign,A1495,,0,0,7.0,25.0,1.0,2017-01-01,33,OK,BRAK,2017.0,2.0
201607,campaign,A1495,,0,0,7.0,36.0,1.0,2017-01-01,44,OK,BRAK,2017.0,12.0
201607,campaign,A1495,,0,0,9.0,56.0,1.0,2017-01-01,66,OK,TAK,2017.0,11.0
201607,campaign,A1495,,0,0,10.0,67.0,1.0,2017-01-01,78,OK,TAK,2017.0,7.0
201607,campaign,A1495,,0,0,11.0,97.0,1.0,2017-01-01,109,OK,TAK,2017.0,6.0
201607,campaign,A1495,,0,0,13.0,179.0,2.0,2017-01-01,194,OK,TAK,2017.0,4.0
201607,campaign,A1495,,0,0,19.0,113.0,2.0,2017-01-01,134,OK,BRAK,2017.0,7.0
201607,campaign,A1495,,0,0,21.0,218.0,6.0,2017-01-01,245,OK,BRAK,2017.0,2.0
201607,campaign,A1495,,0,0,37.0,235.0,2.0,2017-01-01,274,OK,BRAK,2017.0,4.0
201607,campaign,A1495,,1,1,5.0,20.0,1.0,2017-01-01,26,OK,TAK,2018.0,5.0
201607,campaign,A1495,,1,1,17.0,99.0,3.0,2017-01-01,119,OK,BRAK,2017.0,8.0
201607,campaign,A1495,,1,1,17.0,136.0,5.0,2017-01-01,158,OK,BRAK,2017.0,6.0
201607,campaign,A1495,,1,1,22.0,137.0,3.0,2017-01-01,162,OK,BRAK,2017.0,5.0
201607,campaign,A1495,,1,1,34.0,199.0,2.0,2017-01-01,236,OK,BRAK,2017.0,1.0
201607,campaign,A1495,,1,1,41.0,192.0,5.0,2017-01-01,238,OK,BRAK,2017.0,3.0
201607,campaign,A1495,,5,5,50.0,360.0,4.0,2016-12-01,419,OK,BRAK,2016.0,12.0
201607,campaign,A1495,3.0,0,0,1.0,,1.0,2016-08-01,2,OK,BRAK,2016.0,8.0
201607,campaign,A1495,4.0,1,1,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1495,5.0,0,0,1.0,3.0,1.0,2016-10-01,5,OK,BRAK,2016.0,10.0
201607,campaign,A1495,6.0,1,1,,2.0,1.0,2016-08-01,4,OK,BRAK,2016.0,8.0
201607,campaign,A1495,7.0,1,1,,1.0,1.0,2016-08-01,2,OK,BRAK,2016.0,8.0
201607,campaign,A1495,8.0,0,0,,,1.0,2016-08-01,1,OK,BRAK,2016.0,8.0
201607,campaign,A1495,9.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1495,9.0,0,0,,,1.0,2016-08-01,1,OK,BRAK,2016.0,8.0
201607,campaign,A1495,9.0,0,0,,,1.0,2016-09-01,1,OK,BRAK,2016.0,9.0
201607,campaign,A1495,9.0,2,2,11.0,33.0,1.0,2016-11-01,47,OK,BRAK,2016.0,11.0
201607,campaign,A1495,10.0,5,5,13.0,38.0,1.0,2016-11-01,56,OK,BRAK,2016.0,11.0
201607,campaign,A1495I,,0,0,4.0,8.0,2.0,2017-01-01,14,NI,BRAK,2017.0,3.0
201607,campaign,A1503,5.0,1,1,4.0,16.0,1.0,2016-06-01,22,OK,BRAK,2016.0,6.0
201607,campaign,A1503,5.0,1,1,14.0,24.0,2.0,2016-07-01,43,OK,BRAK,2016.0,7.0
201607,campaign,A1503,5.0,2,2,28.0,42.0,1.0,2016-08-01,76,OK,TAK,2016.0,8.0
201607,campaign,A1503,5.0,2,2,33.0,136.0,1.0,2016-10-01,172,OK,TAK,2016.0,10.0
201607,campaign,A1503,5.0,3,3,12.0,21.0,1.0,2016-08-01,37,OK,BRAK,2016.0,8.0
201607,campaign,A1503,5.0,4,4,45.0,314.0,1.0,2016-11-01,364,OK,BRAK,2016.0,11.0
201607,campaign,A1503,5.0,6,6,16.0,22.0,3.0,2016-07-01,44,OK,BRAK,2016.0,7.0
201607,campaign,A1503,5.0,7,7,59.0,275.0,5.0,2016-10-01,346,OK,BRAK,2016.0,10.0
201607,campaign,A1503,5.0,8,8,37.0,144.0,1.0,2016-09-01,190,OK,BRAK,2016.0,9.0
201607,campaign,A1503,5.0,9,9,57.0,176.0,2.0,2016-09-01,244,OK,BRAK,2016.0,9.0
201607,campaign,A1503,5.0,12,12,67.0,86.0,3.0,2016-08-01,177,OK,BRAK,2016.0,8.0
201607,campaign,A1503,6.0,0,0,8.0,7.0,1.0,2016-08-01,17,OK,BRAK,2016.0,8.0
201607,campaign,A1503,6.0,1,1,3.0,11.0,1.0,2016-09-01,16,OK,BRAK,2016.0,9.0
201607,campaign,A1503,6.0,2,2,3.0,14.0,2.0,2016-10-01,20,OK,BRAK,2016.0,10.0
201607,campaign,A1503,6.0,2,2,4.0,7.0,1.0,2016-08-01,14,OK,TAK,2016.0,8.0
201607,campaign,A1503,6.0,2,2,9.0,35.0,1.0,2016-08-01,48,OK,BRAK,2016.0,8.0
201607,campaign,A1503,6.0,3,3,8.0,15.0,1.0,2016-06-01,28,OK,BRAK,2016.0,6.0
201607,campaign,A1503,6.0,4,4,11.0,82.0,6.0,2016-10-01,99,OK,BRAK,2016.0,10.0
201607,campaign,A1503,6.0,4,4,17.0,20.0,8.0,2016-07-01,47,OK,BRAK,2016.0,7.0
201607,campaign,A1503,6.0,7,7,20.0,40.0,4.0,2016-07-01,74,OK,BRAK,2016.0,7.0
201607,campaign,A1503,6.0,8,8,53.0,270.0,1.0,2016-10-01,331,OK,TAK,2016.0,10.0
201607,campaign,A1503,6.0,18,18,124.0,320.0,7.0,2016-09-01,468,OK,BRAK,2016.0,9.0
201607,campaign,A1503,6.0,20,20,130.0,309.0,4.0,2016-09-01,463,OK,BRAK,2016.0,9.0
201607,campaign,A1503,7.0,0,0,,1.0,1.0,2016-08-01,3,OK,BRAK,2016.0,8.0
201607,campaign,A1503,7.0,0,0,1.0,4.0,2.0,2016-07-01,7,OK,TAK,2016.0,7.0
201607,campaign,A1503,7.0,0,0,3.0,29.0,2.0,2016-10-01,34,OK,BRAK,2016.0,10.0
201607,campaign,A1503,7.0,2,2,5.0,13.0,3.0,2016-06-01,22,OK,BRAK,2016.0,6.0
201607,campaign,A1503,7.0,3,3,8.0,9.0,1.0,2016-08-01,20,OK,BRAK,2016.0,8.0
201607,campaign,A1503,7.0,4,4,6.0,14.0,3.0,2016-08-01,26,OK,BRAK,2016.0,8.0
201607,campaign,A1503,7.0,4,4,25.0,117.0,2.0,2016-10-01,148,OK,BRAK,2016.0,10.0
201607,campaign,A1503,7.0,8,8,7.0,30.0,7.0,2016-07-01,49,OK,BRAK,2016.0,7.0
201607,campaign,A1503,7.0,9,9,9.0,18.0,4.0,2016-07-01,36,OK,BRAK,2016.0,7.0
201607,campaign,A1503,7.0,9,9,65.0,362.0,2.0,2016-10-01,437,OK,TAK,2016.0,10.0
201607,campaign,A1503,7.0,17,17,83.0,305.0,9.0,2016-09-01,414,OK,BRAK,2016.0,9.0
201607,campaign,A1503,7.0,23,23,176.0,876.0,7.0,2016-11-01,1081,OK,BRAK,2016.0,11.0
201607,campaign,A1503,7.0,26,26,124.0,325.0,5.0,2016-09-01,479,OK,BRAK,2016.0,9.0
201607,campaign,A1503,7.0,27,27,184.0,887.0,9.0,2016-10-01,1106,OK,BRAK,2016.0,10.0
201607,campaign,A1503,8.0,1,1,3.0,6.0,1.0,2016-08-01,12,OK,BRAK,2016.0,8.0
201607,campaign,A1503,8.0,2,2,3.0,8.0,1.0,2016-07-01,13,OK,BRAK,2016.0,7.0
201607,campaign,A1503,8.0,4,4,9.0,7.0,5.0,2016-08-01,22,OK,BRAK,2016.0,8.0
201607,campaign,A1503,8.0,4,4,19.0,33.0,1.0,2016-08-01,56,OK,TAK,2016.0,8.0
201607,campaign,A1503,8.0,7,7,5.0,13.0,2.0,2016-07-01,27,OK,BRAK,2016.0,7.0
201607,campaign,A1503,8.0,12,12,38.0,159.0,1.0,2016-10-01,210,OK,BRAK,2016.0,10.0
201607,campaign,A1503,8.0,15,15,62.0,184.0,4.0,2016-09-01,265,OK,BRAK,2016.0,9.0
201607,campaign,A1503,8.0,21,21,61.0,79.0,10.0,2016-08-01,169,OK,BRAK,2016.0,8.0
201607,campaign,A1503,8.0,27,27,220.0,1073.0,9.0,2016-11-01,1328,OK,BRAK,2016.0,11.0
201607,campaign,A1503,9.0,0,0,4.0,2.0,1.0,2016-09-01,7,OK,BRAK,2016.0,9.0
201607,campaign,A1503,9.0,2,2,1.0,3.0,2.0,2016-07-01,7,OK,BRAK,2016.0,7.0
201607,campaign,A1503,9.0,3,3,1.0,4.0,2.0,2016-08-01,8,OK,BRAK,2016.0,8.0
201607,campaign,A1503,9.0,3,3,9.0,56.0,1.0,2016-11-01,68,OK,BRAK,2016.0,11.0
201607,campaign,A1503,9.0,4,4,4.0,14.0,2.0,2016-09-01,23,OK,BRAK,2016.0,9.0
201607,campaign,A1503,9.0,5,5,10.0,48.0,1.0,2016-10-01,64,OK,BRAK,2016.0,10.0
201607,campaign,A1503,9.0,8,8,43.0,125.0,4.0,2016-09-01,180,OK,BRAK,2016.0,9.0
201607,campaign,A1503,9.0,11,11,47.0,48.0,3.0,2016-08-01,108,OK,BRAK,2016.0,8.0
201607,campaign,A1503,9.0,15,15,53.0,195.0,3.0,2016-10-01,266,OK,BRAK,2016.0,10.0
201607,campaign,A1503,10.0,0,0,14.0,38.0,2.0,2016-11-01,54,OK,BRAK,2016.0,11.0
201607,campaign,A1503,10.0,3,3,11.0,16.0,1.0,2016-09-01,31,OK,BRAK,2016.0,9.0
201607,campaign,A1503,10.0,11,11,10.0,38.0,2.0,2016-09-01,60,OK,BRAK,2016.0,9.0
201607,campaign,A1503,10.0,12,12,12.0,15.0,2.0,2016-08-01,41,OK,BRAK,2016.0,8.0
201607,campaign,A1503,10.0,21,21,51.0,279.0,3.0,2016-10-01,352,OK,BRAK,2016.0,10.0
201607,campaign,A1503,10.0,56,56,98.0,247.0,4.0,2016-09-01,405,OK,BRAK,2016.0,9.0
201607,campaign,A1503I,5.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1503I,5.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1503I,5.0,0,0,,,2.0,2016-07-01,2,OK,BRAK,2016.0,7.0
201607,campaign,A1503I,5.0,0,0,,2.0,1.0,2016-08-01,3,OK,BRAK,2016.0,8.0
201607,campaign,A1503I,6.0,0,0,,,1.0,2016-07-01,1,OK,TAK,2016.0,7.0
201607,campaign,A1503I,6.0,0,0,,1.0,1.0,2016-09-01,2,OK,TAK,2016.0,9.0
201607,campaign,A1503I,6.0,0,0,1.0,1.0,5.0,2016-08-01,7,OK,BRAK,2016.0,8.0
201607,campaign,A1503I,6.0,1,1,1.0,,1.0,2016-08-01,2,OK,BRAK,2016.0,8.0
201607,campaign,A1503I,6.0,1,1,2.0,5.0,1.0,2016-08-01,9,OK,BRAK,2016.0,8.0
201607,campaign,A1503I,7.0,0,0,,,1.0,2016-06-01,1,OK,BRAK,2016.0,6.0
201607,campaign,A1503I,7.0,0,0,,1.0,1.0,2016-11-01,2,OK,BRAK,2016.0,11.0
201607,campaign,A1503I,7.0,0,0,1.0,1.0,1.0,2016-10-01,3,OK,BRAK,2016.0,10.0
201607,campaign,A1503I,7.0,0,0,1.0,2.0,1.0,2016-09-01,4,OK,BRAK,2016.0,9.0
201607,campaign,A1503I,7.0,0,0,2.0,5.0,2.0,2016-08-01,9,OK,BRAK,2016.0,8.0
201607,campaign,A1503I,8.0,0,0,,,1.0,2016-06-01,1,OK,BRAK,2016.0,6.0
201607,campaign,A1503I,8.0,0,0,,,1.0,2016-07-01,1,OK,BRAK,2016.0,7.0
201607,campaign,A1503I,8.0,0,0,,,1.0,2016-08-01,1,OK,BRAK,2016.0,8.0
201607,campaign,A1503I,8.0,0,0,,,1.0,2016-08-01,1,OK,TAK,2016.0,8.0
201607,campaign,A1503I,8.0,0,0,1.0,,1.0,2016-10-01,2,OK,BRAK,2016.0,10.0
201607,campaign,A1503I,8.0,0,0,1.0,1.0,3.0,2016-08-01,5,OK,BRAK,2016.0,8.0
